Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,07/23/2020,9617.377861,9534.116269,9681.909452,9452.744476
BTC,07/24/2020,9568.974726,9617.389459,9646.957118,9479.577351
BTC,07/25/2020,9708.94914,9557.065314,9746.556096,9546.032528
BTC,07/26/2020,9938.951223,9714.685123,10135.88216,9670.416834
BTC,07/27/2020,11187.77973,9940.111573,11394.84875,9930.83996
BTC,07/28/2020,10939.67014,11040.79047,11254.55134,10580.1286
BTC,07/29/2020,11284.45899,10930.45278,11318.0871,10852.88097
BTC,07/30/2020,11118.91841,11118.88858,11180.43064,10847.20085
BTC,07/31/2020,11373.31726,11112.42116,11467.95059,10980.82391
BTC,08/01/2020,11766.7483,11352.71504,11880.77364,11241.97677
BTC,08/02/2020,11139.09838,11820.51291,12117.67708,10658.94608
BTC,08/03/2020,11261.80633,11071.26711,11480.28338,10956.56291
BTC,08/04/2020,11228.02632,11237.22451,11400.06419,11045.96842
BTC,08/05/2020,11653.40759,11196.28746,11791.10323,11107.1352
BTC,08/06/2020,11796.81736,11756.89486,11917.76504,11581.57513
BTC,08/07/2020,11639.93541,11780.04401,11917.85915,11347.41279
BTC,08/08/2020,11744.91208,11610.9087,11814.95666,11543.3477
BTC,08/09/2020,11673.12324,11770.45097,11802.66293,11536.75286
BTC,08/10/2020,11832.22731,11693.17945,12070.44182,11546.95776
BTC,08/11/2020,11340.58234,11903.3335,11941.6518,11137.81368
BTC,08/12/2020,11549.54631,11399.06848,11626.23784,11166.54478
BTC,08/13/2020,11752.16866,11571.10263,11795.43575,11287.64679
BTC,08/14/2020,11783.28341,11789.95953,11867.28291,11663.41146
BTC,08/15/2020,11895.62695,11782.78559,11987.65155,11714.58902
BTC,08/16/2020,11896.94717,11862.38742,11938.8761,11705.49261
BTC,08/17/2020,12399.11188,11916.58022,12476.69704,11778.30371
BTC,08/18/2020,12071.73891,12299.81621,12391.84071,11840.39237
BTC,08/19/2020,11749.82951,11959.02939,12029.75799,11589.5762
BTC,08/20/2020,11833.89735,11766.18313,11899.96341,11690.15508
BTC,08/21/2020,11583.13894,11866.28401,11890.03166,11525.26123
BTC,08/22/2020,11674.62435,11539.71729,11694.47049,11393.21033
BTC,08/23/2020,11666.41012,11677.05824,11726.23458,11539.08981
BTC,08/24/2020,11744.0127,11660.39682,11835.35928,11601.74066
BTC,08/25/2020,11378.72603,11759.3614,11771.3353,11133.16876
BTC,08/26/2020,11458.8226,11334.03573,11546.20239,11265.22814
BTC,08/27/2020,11302.12096,11467.29065,11594.64626,11157.08574
BTC,08/28/2020,11482.22569,11339.74802,11553.53918,11294.18591
BTC,08/29/2020,11515.04443,11540.72864,11586.30657,11435.40076
BTC,08/30/2020,11657.00393,11483.12875,11694.6708,11476.07202
BTC,08/31/2020,11678.37326,11712.97262,11799.52944,11579.88329
BTC,09/01/2020,11964.20867,11661.42734,12070.22741,11544.42003
BTC,09/02/2020,11427.7026,11923.19964,11954.16268,11217.45383
BTC,09/03/2020,10712.92065,11409.72633,11470.80702,10505.14681
BTC,09/04/2020,10563.89694,10177.72164,10644.24117,10118.71861
BTC,09/05/2020,10042.85485,10470.02669,10574.30731,9894.2254
BTC,09/06/2020,10207.605,10174.86343,10355.65249,10014.27766
BTC,09/07/2020,10381.77611,10265.74299,10383.11924,9891.734243
BTC,09/08/2020,10043.19644,10381.67682,10444.17113,9868.937984
BTC,09/09/2020,10268.46092,10136.56084,10352.41519,9989.510556
BTC,09/10/2020,10341.01598,10230.63553,10483.56121,10224.03739
BTC,09/11/2020,10380.5396,10347.66121,10403.75568,10214.66973
BTC,09/12/2020,10436.36541,10400.85545,10484.8759,10286.42747
BTC,09/13/2020,10313.06858,10450.94952,10585.88066,10226.42392
BTC,09/14/2020,10680.29756,10337.71258,10759.1361,10281.58014
BTC,09/15/2020,10829.50531,10683.00291,10944.65131,10636.18826
BTC,09/16/2020,11033.38353,10792.31023,11103.79648,10683.79026
BTC,09/17/2020,10937.11126,10966.38648,11061.28463,10762.41738
BTC,09/18/2020,10933.93116,10947.23137,11035.0532,10830.85247
BTC,09/19/2020,11048.87928,10940.13447,11180.39531,10904.19962
BTC,09/20/2020,10852.91014,11085.429,11085.429,10773.33219
BTC,09/21/2020,10526.20289,10925.51079,10991.69454,10322.59482
BTC,09/22/2020,10531.16456,10423.27155,10579.30131,10371.91657
BTC,09/23/2020,10260.03301,10536.31722,10541.16888,10209.06313
BTC,09/24/2020,10672.95681,10241.16589,10712.49925,10200.88278
BTC,09/25/2020,10729.06961,10736.65234,10759.7111,10569.43458
BTC,09/26/2020,10741.47647,10692.46427,10777.57591,10657.52315
BTC,09/27/2020,10752.34545,10734.50124,10802.37407,10599.58841
BTC,09/28/2020,10863.06572,10776.30436,10948.06266,10776.30436
BTC,09/29/2020,10764.28437,10691.97856,10793.60349,10640.69415
BTC,09/30/2020,10741.57955,10843.38826,10849.73073,10672.79503
BTC,10/01/2020,10626.60096,10778.89849,10931.6335,10470.69372
BTC,10/02/2020,10567.3302,10624.91072,10670.71056,10386.91138
BTC,10/03/2020,10555.02868,10578.91957,10609.23748,10512.33934
BTC,10/04/2020,10660.61118,10559.31466,10702.51138,10535.82272
BTC,10/05/2020,10756.40458,10672.16544,10770.46301,10630.95649
BTC,10/06/2020,10589.62639,10793.15206,10798.98132,10543.48911
BTC,10/07/2020,10645.75479,10600.66078,10680.64123,10554.84167
BTC,10/08/2020,10897.59543,10669.07004,10949.34337,10544.3758
BTC,10/09/2020,11052.39508,10929.59262,11106.33446,10843.4743
BTC,10/10/2020,11360.85272,11059.81357,11484.16448,11058.74049
BTC,10/11/2020,11334.02674,11293.20701,11436.21148,11282.50356
BTC,10/12/2020,11666.2117,11372.10996,11723.64386,11210.86134
BTC,10/13/2020,11443.73279,11534.60957,11564.64006,11333.53492
BTC,10/14/2020,11395.54737,11431.09404,11540.06492,11302.77704
BTC,10/15/2020,11504.54901,11433.45754,11610.2504,11291.89809
BTC,10/16/2020,11355.16044,11511.9022,11544.48601,11227.07106
BTC,10/17/2020,11358.70638,11329.99473,11410.16368,11282.94789
BTC,10/18/2020,11471.00255,11368.41235,11486.98541,11356.17416
BTC,10/19/2020,11776.593,11514.6451,11825.64774,11419.08229
BTC,10/20/2020,11936.36291,11754.18203,11993.92588,11693.78394
BTC,10/21/2020,13102.93446,11920.41139,13109.16597,11900.21384
BTC,10/22/2020,13140.66928,12801.68807,13192.25287,12697.45705
BTC,10/23/2020,12933.82357,12980.8801,13029.96389,12731.05779
BTC,10/24/2020,13081.67256,12929.8494,13168.33883,12877.93801
BTC,10/25/2020,13008.45326,13115.83352,13342.75028,12906.70059
BTC,10/26/2020,13033.52427,13038.91554,13243.9959,12811.54603
BTC,10/27/2020,13721.28222,13069.23614,13756.3317,13062.40879
BTC,10/28/2020,13282.26035,13647.57292,13847.53352,12894.89932
BTC,10/29/2020,13467.73178,13280.36559,13640.13894,12994.98437
BTC,10/30/2020,13573.7105,13461.38352,13667.74723,13134.48008
BTC,10/31/2020,13891.21683,13574.92722,14093.05295,13438.93538
BTC,11/01/2020,13730.19731,13810.64198,13907.31295,13641.54034
BTC,11/02/2020,13633.69822,13768.95676,13837.85118,13270.20734
BTC,11/03/2020,13832.93841,13565.13068,13842.47454,13301.61195
BTC,11/04/2020,14163.97682,14014.73488,14257.52971,13582.4022
BTC,11/05/2020,15424.52768,14156.60864,15494.57817,14104.90209
BTC,11/06/2020,15540.59659,15607.5055,15971.64142,15202.76451
BTC,11/07/2020,14783.98168,15603.25854,15764.1047,14330.68183
BTC,11/08/2020,15500.33425,14820.43647,15657.12904,14711.54819
BTC,11/09/2020,15283.78014,15481.90608,15810.77379,14845.79176
BTC,11/10/2020,15374.04439,15327.58839,15448.41275,15092.3898
BTC,11/11/2020,15820.49524,15316.74901,15973.07608,15294.29332
BTC,11/12/2020,16253.31027,15701.8651,16348.4628,15474.76108
BTC,11/13/2020,16347.04492,16302.8428,16487.48815,15971.1428
BTC,11/14/2020,15991.83302,16329.79889,16333.51314,15718.88879
BTC,11/15/2020,15918.08013,16078.97001,16167.39692,15792.77908
BTC,11/16/2020,16752.00299,15969.51601,16885.58019,15881.70385
BTC,11/17/2020,17593.48641,16718.59966,17831.23118,16560.99963
BTC,11/18/2020,17834.63653,17672.65284,18358.97625,17283.49485
BTC,11/19/2020,17954.85801,17786.21258,18170.83027,17381.23626
BTC,11/20/2020,18612.87067,17823.3433,18813.40769,17762.92882
BTC,11/21/2020,18591.8566,18666.58022,18964.64351,18368.28996
BTC,11/22/2020,18629.99554,18683.8472,18732.99132,17806.2676
BTC,11/23/2020,18469.20047,18405.5557,18752.16004,17990.11089
BTC,11/24/2020,19045.73647,18370.21961,19392.90868,18059.26543
BTC,11/25/2020,18746.93481,19136.08297,19391.46366,18640.64218
BTC,11/26/2020,17187.40628,18719.20716,18908.63553,16242.70294
BTC,11/27/2020,17023.9614,17180.71873,17482.2001,16489.30267
BTC,11/28/2020,17814.78028,17159.1095,17901.38262,16906.1761
BTC,11/29/2020,18114.41435,17742.82304,18356.31323,17545.19622
BTC,11/30/2020,19382.36059,18201.27725,19850.11449,18201.27725
BTC,12/01/2020,18980.97745,19677.98984,19920.53426,18171.75051
BTC,12/02/2020,19184.89785,18796.74864,19357.16459,18360.23172
BTC,12/03/2020,19464.5317,19220.59015,19607.85534,18899.48869
BTC,12/04/2020,18813.12476,19441.5588,19539.86235,18717.12493
BTC,12/05/2020,19045.02027,18668.15855,19200.79191,18518.85142
BTC,12/06/2020,19113.9334,19162.26446,19347.62491,18927.29956
BTC,12/07/2020,19107.5998,19373.44523,19433.09749,18931.5713
BTC,12/08/2020,18682.45783,19177.92617,19299.04708,18630.74248
BTC,12/09/2020,18543.00705,18320.23313,18618.96013,17640.56207
BTC,12/10/2020,18359.4766,18557.45291,18565.21617,17904.06899
BTC,12/11/2020,18137.31937,18255.77375,18293.55273,17593.1721
BTC,12/12/2020,18882.26017,18040.17062,18956.34444,18029.14317
BTC,12/13/2020,19060.2769,18822.50994,19408.67465,18726.84709
BTC,12/14/2020,19251.224,19161.13847,19323.16531,19015.68597
BTC,12/15/2020,19443.47635,19264.6703,19552.37198,19053.34247
BTC,12/16/2020,21310.65626,19433.14137,21447.52385,19293.29896
BTC,12/17/2020,22895.97624,21351.25481,23770.84657,21248.36533
BTC,12/18/2020,23008.77626,22819.5589,23261.25288,22357.60765
BTC,12/19/2020,23890.82265,23126.60677,24122.67327,22781.87678
BTC,12/20/2020,23537.36989,23829.2848,24273.0415,23085.95477
BTC,12/21/2020,23177.271,23476.0875,24081.05309,21960.19135
BTC,12/22/2020,23433.98076,22729.65929,23629.40446,22384.12785
BTC,12/23/2020,23224.45414,23791.56529,24086.95066,22644.56106
BTC,12/24/2020,23623.88553,23228.90909,23737.75715,22716.17417
BTC,12/25/2020,24581.00617,23726.191,24627.29791,23422.31033
BTC,12/26/2020,26381.29623,24708.20678,26750.87995,24497.41087
BTC,12/27/2020,26389.29026,26447.70807,28352.62782,25759.06861
BTC,12/28/2020,26718.02946,26226.06613,27447.55138,26046.62558
BTC,12/29/2020,26975.72956,27038.73568,27169.22556,25875.04979
BTC,12/30/2020,28768.83621,27349.32723,28928.21439,27349.2832
BTC,12/31/2020,29111.52157,28872.82977,29280.04533,27916.62506
BTC,01/01/2021,29333.60512,28935.81098,29601.5949,28753.41231
